date,steps,daily_movement,cal_total,high,low,medium,rest,duration,awake,efficiency
2021-05-31,13781,12.676,2764,2,456,39,488,460.0,20.0,96
2021-06-01,12833,12.328,2728,3,410,36,542,563.0,45.0,92
2021-06-02,10228,8.563,2517,0,351,21,605,529.0,33.0,94
2021-06-03,8624,7.93,2458,0,283,31,521,534.0,37.0,93
2021-06-04,17188,14.477,2895,0,371,80,522,538.0,36.0,93
2021-06-05,8972,7.445,2441,0,304,14,548,544.0,52.0,90
2021-06-06,10796,9.267,2588,0,403,24,506,490.0,51.0,90
2021-06-07,8123,7.071,2438,0,325,16,583,499.0,33.0,93
2021-06-08,12479,10.693,2671,0,448,28,498,603.0,22.0,96
2021-06-09,9159,7.785,2486,1,368,16,591,566.0,30.0,95
2021-06-10,13589,13.857,2834,0,344,74,554,536.0,85.0,84
2021-06-11,16481,14.09,2882,0,370,81,519,558.0,31.5,94
2021-06-12,7768,7.299,2421,2,289,23,624,513.0,25.0,95
2021-06-13,15828,14.244,2848,0,479,51,474,542.0,39.5,93
2021-06-14,19599,17.017,2995,0,267,124,579,564.0,36.5,94
2021-06-15,5121,4.563,2250,0,204,10,637,513.0,26.0,95
2021-06-16,12880,11.282,2687,0,396,33,531,523.0,57.5,89
2021-06-17,10478,9.58,2580,0,400,19,571,585.0,51.5,91
2021-06-18,13084,12.051,2696,0,421,30,531,483.0,32.5,93
2021-06-19,7396,6.386,2400,0,302,10,562,558.0,34.5,94
2021-06-20,14393,11.562,2657,0,295,78,633,560.0,21.0,96
2021-06-21,14635,12.033,2694,0,347,61,583,497.0,29.5,94
2021-06-22,6822,5.731,2342,0,268,20,601,540.0,52.0,90
2021-06-23,11208,9.41,2555,0,328,41,546,569.0,39.5,93
2021-06-24,7523,6.367,2413,0,334,8,469,523.0,34.5,93
2021-06-25,11312,10.099,2607,0,414,17,509,467.0,43.0,91
2021-06-26,7153,6.085,2365,0,294,19,642,567.0,82.0,86
2021-06-27,4592,3.536,2241,0,190,6,566,317.0,41.5,87
2021-06-28,18835,16.293,3031,0,433,90,327,523.0,24.0,95
2021-06-29,10909,9.54,2625,0,473,15,539,501.0,24.0,95
2021-06-30,11315,9.797,2571,0,380,27,598,382.0,39.0,90
2021-07-01,4767,3.837,2210,0,195,9,463,507.0,33.5,93
2021-07-02,14483,15.145,2872,2,275,89,530,501.0,25.0,95
2021-07-03,12751,13.324,2739,2,186,91,555,461.0,48.5,89
2021-07-04,8952,7.777,2454,1,301,24,438,365.0,40.5,89
2021-07-05,4720,4.207,2229,0,192,11,466,446.0,50.5,89
2021-07-06,10637,8.812,2561,0,423,12,519,545.0,28.5,95
2021-07-07,10998,9.742,2583,3,315,34,524,478.0,43.0,91
2021-07-08,12783,14.957,2871,0,191,108,468,347.0,28.0,92
2021-07-09,4034,3.177,2197,0,180,12,373,532.0,62.5,88
2021-07-10,8300,6.974,2394,0,297,20,594,425.0,56.0,87
2021-07-11,3932,3.209,2188,0,191,5,440,399.0,46.0,88
2021-07-12,5321,4.659,2243,0,199,17,493,427.0,45.5,89
2021-07-13,4826,4.148,2219,0,188,8,456,516.0,28.5,94
2021-07-14,9831,8.368,2527,0,375,24,524,473.0,52.0,89
2021-07-17,10065,8.411,2605,0,373,20,386,375.0,59.5,84
2021-07-18,4386,3.491,2198,0,212,5,697,639.0,33.5,95
2021-07-19,12177,10.69,2610,0,398,27,623,411.0,25.0,94
2021-07-20,5854,5.125,2280,1,204,19,480,570.0,35.0,94
2021-07-21,13551,13.893,2810,6,221,80,525,512.0,40.0,92
2021-07-22,14720,13.375,2734,0,410,46,625,545.0,37.5,93
2021-07-23,13079,14.174,2847,7,257,81,468,522.0,26.0,95
2021-07-24,14817,16.0,2926,2,255,96,503,536.0,23.0,96
2021-07-25,11570,12.575,2709,1,189,83,548,517.0,38.5,93
2021-07-26,9770,8.871,2555,1,384,14,537,421.0,37.0,91
2021-07-27,5475,4.261,2346,0,244,11,436,540.0,33.5,94
2021-07-28,8113,7.056,2394,1,274,22,640,436.0,47.0,89
2021-07-29,5100,4.434,2227,0,181,11,453,389.0,23.5,94
2021-07-30,6328,5.682,2308,0,231,18,448,410.0,26.5,94
2021-07-31,3606,3.159,2170,0,163,7,456,417.0,19.0,95
2021-08-01,5332,4.511,2269,0,195,22,424,510.0,27.0,95
2021-08-02,9926,8.281,2472,0,346,26,667,532.0,46.5,91
2021-08-03,9459,7.676,2507,0,298,33,500,372.0,24.5,93
2021-08-04,4062,3.523,2187,0,183,9,457,446.0,36.5,92
2021-08-05,4676,3.863,2230,0,203,13,451,549.0,34.5,94
2021-08-06,7456,7.048,2399,1,261,31,499,499.0,47.5,90
2021-08-07,6615,6.014,2351,0,229,25,469,485.0,60.5,88
2021-08-08,9703,8.258,2492,0,393,10,579,350.0,33.5,90
2021-08-09,5768,5.15,2279,0,216,12,425,434.0,23.5,95
2021-08-10,6168,5.567,2282,0,176,24,472,574.0,39.5,93
2021-08-11,11670,10.095,2587,0,400,32,611,558.0,41.5,93
2021-08-12,6276,4.96,2328,0,302,4,630,393.0,17.5,96
2021-08-13,5629,4.87,2276,1,213,17,461,559.0,35.0,94
2021-08-14,7119,6.724,2353,1,271,19,710,569.0,39.5,93
2021-08-15,6664,5.53,2352,0,310,7,573,500.0,40.5,92
2021-08-16,9206,7.858,2489,0,366,10,526,497.0,70.5,86
2021-08-17,9183,7.786,2498,0,393,17,543,653.0,129.5,80
2021-08-20,5037,3.852,2284,0,251,4,581,516.0,46.0,91
2021-08-21,958,8.765,2619,0,428,18,285,537.0,41.5,92
2021-08-22,6091,5.098,2330,0,264,11,594,505.0,41.5,92
2021-08-23,8900,7.44,2484,0,346,17,506,517.0,44.0,91
2021-08-24,9744,9.118,2540,1,355,28,567,631.0,51.0,92
2021-08-25,7849,6.626,2376,0,299,12,676,541.0,30.0,94
2021-08-26,11901,10.623,2623,0,458,28,624,481.0,48.5,90
2021-08-27,6082,5.056,2403,0,304,5,430,527.0,25.0,95
2021-08-28,5698,4.41,2310,0,271,7,605,610.0,57.0,91
2021-08-29,11973,10.927,2646,2,367,49,585,634.0,72.0,89
2021-08-30,9169,7.853,2461,1,330,21,600,496.0,51.5,90
2021-08-31,10918,9.513,2576,2,402,29,592,544.0,53.5,90
2021-09-01,7856,6.712,2412,0,306,20,611,514.0,39.0,92
2021-09-02,9764,8.774,2513,1,322,26,488,533.0,37.5,93
2021-09-03,10090,9.192,2544,4,262,45,544,682.0,99.5,85
2021-09-04,4203,3.717,2175,0,181,8,672,466.0,36.5,92
2021-09-05,9395,8.442,2562,0,378,23,458,622.0,78.0,87
2021-09-06,10938,10.122,2599,5,374,39,639,510.0,38.5,92
2021-09-07,9233,8.172,2490,3,335,27,597,509.0,26.5,95
2021-09-08,9307,7.973,2537,0,394,17,491,496.0,26.0,95
2021-09-09,9069,8.0,2503,0,361,19,538,561.0,76.0,86
2021-09-10,8505,6.838,2427,0,342,15,578,539.0,39.0,93
2021-09-11,7034,5.95,2371,0,322,15,567,477.0,76.0,84
2021-09-12,6164,5.188,2351,0,313,4,540,456.0,48.0,89
2021-09-13,7491,6.507,2386,0,328,14,602,451.0,30.5,93
2021-09-14,10050,8.765,2513,1,317,30,521,511.0,43.5,91
2021-09-15,6072,4.824,2341,0,295,4,533,456.0,44.5,90
2021-09-16,9155,7.965,2539,3,378,9,501,514.0,36.0,93
2021-09-17,9027,7.647,2494,0,365,17,533,471.0,24.0,95
2021-09-18,9040,7.964,2509,0,344,29,501,476.0,38.5,92
2021-09-19,8383,6.875,2432,0,342,11,532,549.0,37.0,93
2021-09-20,9022,7.58,2456,0,348,24,600,900.0,313.5,65
2021-09-21,7788,6.988,2359,0,261,24,690,492.0,29.5,94
2021-09-22,7291,5.737,2377,0,312,9,554,461.0,46.0,90
2021-09-23,7949,7.217,2485,0,394,7,462,463.0,84.0,82
2021-09-24,8447,7.166,2475,0,346,11,455,434.0,30.5,93
2021-09-25,4133,3.54,2221,0,211,4,588,502.0,73.0,85
2021-04-20,15800,15.749,3104,1,573,82,490,510.0,44.0,91
2021-04-21,11201,9.918,2798,3,459,33,464,374.0,20.0,95
2021-04-22,7891,6.486,2583,1,334,23,494,504.0,33.5,93
2021-04-23,7950,7.006,2531,0,297,29,483,449.0,26.5,94
2021-04-24,7312,47.049,4872,0,243,446,404,492.0,28.0,94
2021-04-25,14980,15.132,2979,14,282,89,595,507.0,28.0,94
2021-04-26,14491,12.546,2978,9,318,77,479,469.0,28.0,94
2021-04-27,11338,10.08,2717,0,407,42,513,502.0,27.5,95
2021-04-28,16933,13.996,2982,2,286,110,496,461.0,20.5,96
2021-04-29,19683,15.497,3006,2,265,129,455,581.0,29.0,95
2021-04-30,9786,8.536,2551,0,258,62,720,525.0,29.0,94
2021-05-01,12189,9.96,2659,1,265,65,632,577.0,57.0,90
2021-05-02,7038,6.007,2462,0,283,17,565,433.0,67.5,84
2021-05-03,5202,3.575,2449,0,257,11,469,469.0,39.0,92
2021-05-04,8684,7.077,2664,0,408,32,477,475.0,19.0,96
2021-05-05,7977,6.904,2564,1,310,25,527,500.0,30.5,94
2021-05-06,11009,10.174,2789,0,402,46,470,462.0,41.5,91
2021-05-07,21196,26.441,3676,1,519,170,449,404.0,42.0,90
2021-05-08,4510,57.415,5491,0,137,571,384,605.0,34.5,94
2021-05-09,7412,6.697,2493,1,293,25,657,486.0,29.0,94
2021-05-10,11145,9.318,2758,0,450,23,457,456.0,33.0,93
2021-05-11,12837,11.497,2869,0,507,35,453,444.0,27.5,94
2021-05-12,12551,10.237,2766,0,496,29,478,566.0,19.0,97
2021-05-13,11280,9.993,2682,0,425,17,604,495.0,44.5,91
2021-05-14,13110,10.969,2822,1,432,43,466,519.0,30.5,94
2021-05-15,11298,9.993,2661,1,408,23,475,553.0,71.0,87
2021-05-16,14460,13.803,2850,1,343,77,601,474.0,32.0,93
2021-05-17,9974,8.148,2678,0,367,34,458,451.0,60.5,87
2021-05-18,8665,7.092,2622,0,377,17,522,519.0,29.0,94
2021-05-19,7347,5.619,2556,0,326,16,417,454.0,58.0,87
2021-05-20,11632,9.46,2780,0,505,20,365,415.0,32.0,92
2021-05-21,14202,12.157,2898,0,572,18,458,528.0,39.0,93
2021-05-22,17362,16.094,3205,13,575,48,278,374.0,81.0,78
2021-05-23,8836,7.592,2471,0,331,4,730,558.0,36.5,93
2021-05-24,17763,21.674,3470,58,351,45,480,390.0,40.5,90
2021-05-25,15431,13.58,2944,0,590,23,497,527.0,27.0,95
2021-05-26,12648,11.797,2765,0,494,17,613,581.0,35.5,94
2021-05-27,7969,6.673,2518,0,365,18,654,453.0,50.0,89
2021-05-28,17479,15.578,3013,1,321,112,501,587.0,27.5,95
2021-05-29,14075,11.062,2769,0,367,66,579,706.0,114.5,84
2021-05-30,8136,7.296,2496,0,349,17,645,432.0,41.5,90
2021-05-31,3779,2.757,2282,0,212,0,522,490.0,30.5,94
2021-06-01,7213,5.68,2440,0,332,11,635,473.0,21.0,96
2021-06-02,8989,7.629,2692,2,397,17,427,457.0,79.0,83
2021-06-05,18380,22.502,3572,83,322,33,509,641.0,46.5,93
2021-06-06,11289,11.782,2789,5,374,58,598,339.0,37.5,89
2021-06-07,5685,4.357,2424,0,246,13,357,431.0,31.5,93
2021-06-08,5796,4.097,2445,0,294,7,568,519.0,22.5,96
2021-06-09,5979,4.934,2419,0,260,14,511,498.0,31.5,94
2021-06-10,4570,3.741,2351,0,224,8,504,530.0,49.5,91
2021-06-11,7060,5.968,2484,0,324,14,567,497.0,22.0,96
2021-06-12,9229,7.555,2614,0,430,10,508,602.0,122.5,80
2021-06-13,11104,9.925,2704,1,364,28,485,360.0,17.5,95
2021-06-14,8392,7.562,2568,0,284,26,468,445.0,63.0,86
2021-06-15,8208,6.13,2652,0,450,13,428,476.0,23.5,95
2021-06-16,4585,3.592,2352,1,215,9,539,398.0,43.0,89
2021-06-17,15374,17.772,3214,2,483,106,395,489.0,42.0,91
